Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
16bb6190-0d2a-45b2-a4a9-10178d51a066,"2020-08-04, 10:21:12 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:595196738758:trail/Udacity_Trail""}]",,us-east-2,,209.94.140.216
39ea2472-bd1b-4019-ba54-e68e9006b8b5,"2020-08-04, 10:21:12 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:595196738758:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-samrudhi""}]",,us-east-2,,209.94.140.216
c8bd5fc8-42b5-41b4-88f5-b8d2e73e6e2b,"2020-08-04, 10:21:12 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-samrudhi""}]",,us-east-2,,209.94.140.216
ca1d6dd2-6b21-4e2b-869d-51c7008028fb,"2020-08-04, 10:21:12 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-2,,209.94.140.216
e8074083-e1a5-46d2-85cd-1c203b778bf8,"2020-08-04, 10:21:11 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-samrudhi""}]",,us-east-2,,209.94.140.216
a0fd5dd6-c0c6-4a7b-b40c-796dee98819c,"2020-08-04, 10:19:00 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
0d78d884-452a-4701-acae-26070d1cfb9b,"2020-08-04, 10:17:41 PM",udacitysam,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,209.94.140.216
51121344-59de-4a9a-94bc-13f7f1e339a0,"2020-08-04, 10:17:41 PM",udacitysam,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAYVFD5PTDMQ7VP4G2""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,209.94.140.216
9e41847d-bb2a-4d2c-99ae-0fa39010bbc2,"2020-08-04, 10:17:41 PM",udacitysam,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::595196738758:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAYVFD5PTDDORWVIAQZ""}]",,us-east-1,,209.94.140.216
bf52a314-d293-486b-94af-01b09ad52646,"2020-08-04, 10:17:41 PM",udacitysam,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,209.94.140.216
3fc4b230-ba77-4b2b-983e-0a958f07e63e,"2020-08-04, 10:16:53 PM",udacitysam,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,209.94.140.216
9b3f12a8-7e8f-41b7-9e4b-23d2f76dbd56,"2020-08-04, 10:16:53 PM",udacitysam,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,209.94.140.216
ef902fdb-8e38-4948-ac5a-2d74fab2cbcf,"2020-08-04, 10:16:53 PM",udacitysam,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAYVFD5PTDJDJE7A6U""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,209.94.140.216
f2216871-c9f1-41b5-9179-72a506fcf467,"2020-08-04, 10:16:53 PM",udacitysam,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAYVFD5PTDNY3HMGN2G""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::595196738758:user/CloudTrail""}]",,us-east-1,,209.94.140.216
af0f1b85-fac5-4456-92c2-7a5aa8a191d5,"2020-08-04, 10:14:47 PM",udacitysam,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAYVFD5PTDNSLXINSSW""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::595196738758:group/Reviewers""}]",,us-east-1,,209.94.140.216
